,Cumulative number of tests,Number of patients being treated,Number of releases from quarantine,Number of deaths,Number of confirmed cases,Number of tests in progress,Number of people who are negative,Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),
,Total (E),Quarantined (Q),Recovered (R),Cumulative death (D),Cumulative number of confirmed cases (I),test,Negative,Cumulative count (tests),Daily (tests),Analysis rate,Detection rate,Daily,
date,accExamCnt,careCnt,clearCnt,deathCnt,decideCnt,examCnt,resutlNegCnt,mutant,mutant_d,PA,PF,mutant,
2020.2.8,2097,22,2,0,24,939,1134,0,0,0,0,0,0
2020.2.9,2598,24,2,0,24,888,1683,0,0,0,0,0,0
2020.2.10,3110,24,3,0,27,531,2552,0,0,0,0,0,0
2020.2.11,4325,24,4,0,28,762,3535,0,0,0,0,0,0
2020.2.12,5624,21,7,0,28,785,4811,0,0,0,0,0,0
2020.2.13,6511,21,7,0,28,562,5921,0,0,0,0,0,0
2020.2.14,7242,21,7,0,28,535,6679,0,0,0,0,0,0
2020.2.15,7734,19,9,0,28,558,7148,0,0,0,0,0,0
2020.2.16,8161,20,9,0,29,485,7647,0,0,0,0,0,0
2020.2.17,8718,20,10,0,30,708,7980,0,0,0,0,0,0
2020.2.18,9772,19,12,0,31,818,8923,0,0,0,0,0,0
2020.2.19,11173,35,16,0,51,1149,9973,0,0,0,0,0,0
2020.2.20,13202,87,16,1,104,1860,11238,0,0,0,0,0,0
2020.2.21,16400,186,17,1,204,3180,13016,0,0,0,0,0,0
2020.2.22,21586,413,18,2,433,6037,15116,0,0,0,0,0,0
2020.2.23,26179,579,18,5,602,8057,17520,0,0,0,0,0,0
2020.2.24,32756,804,22,7,833,11631,20292,0,0,0,0,0,0
2020.2.25,40304,945,22,10,977,13880,25447,0,0,0,0,0,0
2020.2.26,53553,1225,24,12,1261,20716,31576,0,0,0,0,0,0
2020.2.27,66652,1727,26,13,1766,25568,39318,0,0,0,0,0,0
2020.2.28,81167,2297,27,13,2337,30237,48593,0,0,0,0,0,0
2020.2.29,94055,3105,28,17,3150,35182,55723,0,0,0,0,0,0
2020.3.1,98921,3687,31,18,3736,33360,61825,0,0,0,0,0,0
2020.3.2,109591,4159,31,22,4212,33799,71580,0,0,0,0,0,0
2020.3.3,125851,4159,34,28,4812,35555,85484,0,0,0,0,0,0
2020.3.4,136707,4750,41,32,5328,28414,102965,0,0,0,0,0,0
2020.3.5,146541,5255,88,35,5766,21810,118965,0,0,0,0,0,0
2020.3.6,164740,5643,108,42,6284,21832,136624,0,0,0,0,0,0
2020.3.7,178189,6134,118,44,6767,19620,151802,0,0,0,0,0,0
2020.3.8,188518,6605,130,50,7134,19376,162008,0,0,0,0,0,0
2020.3.9,196618,6954,166,51,7382,17458,171778,0,0,0,0,0,0
2020.3.10,210144,7165,247,54,7513,18452,184179,0,0,0,0,0,0
2020.3.11,222395,7212,288,60,7755,18540,196100,0,0,0,0,0,0
2020.3.12,234998,7407,333,66,7869,17727,209402,0,0,0,0,0,0
2020.3.13,248647,7470,510,67,7979,17940,222728,0,0,0,0,0,0
2020.3.14,261335,7402,714,72,8086,17634,235615,0,0,0,0,0,0
2020.3.15,268212,7300,834,75,8162,16272,243778,0,0,0,0,0,0
2020.3.16,274504,7253,1137,75,8236,14971,251297,0,0,0,0,0,0
2020.3.17,286716,7024,1401,81,8320,17291,261105,0,0,0,0,0,0
2020.3.18,295647,6838,1540,84,8413,16346,270888,0,0,0,0,0,0
2020.3.19,307024,6789,1947,91,8565,15904,282555,0,0,0,0,0,0
2020.3.20,316664,6527,2233,94,8652,15525,292487,0,0,0,0,0,0
2020.3.21,327509,6325,2612,102,8799,15704,303006,0,0,0,0,0,0
2020.3.22,331780,6085,2909,104,8897,14540,308343,0,0,0,0,0,0
2020.3.23,338036,5884,3166,111,8961,13628,315447,0,0,0,0,0,0
2020.3.24,348582,5684,3507,120,9037,15440,324105,0,0,0,0,0,0
2020.3.25,357896,5410,3730,126,9137,14278,334481,0,0,0,0,0,0
2020.3.26,364942,5281,4144,131,9241,14369,341332,0,0,0,0,0,0
2020.3.27,376961,4966,4528,139,9332,15219,352410,0,0,0,0,0,0
2020.3.28,387925,4665,4811,144,9478,16564,361883,0,0,0,0,0,0
2020.3.29,394141,4523,5033,152,9583,15028,369530,0,0,0,0,0,0
2020.3.30,395194,4398,5228,158,9661,13531,372002,0,0,0,0,0,0
2020.3.31,410564,4275,5408,162,9786,16892,383886,0,0,0,0,0,0
2020.4.1,421547,4216,5567,165,9887,16585,395075,0,0,0,0,0,0
2020.4.2,431743,4155,5828,169,9976,17885,403882,0,0,0,0,0,0
2020.4.3,443273,3979,6021,174,10062,18908,414303,0,0,0,0,0,0
2020.4.4,455032,3867,6325,177,10156,20144,424732,0,0,0,0,0,0
