,accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,thirdCnt,totalFirstCnt,totalSecondCnt,totalThirdCnt
0,547974,0,2021.3.13 0:00,35684,0,0,583658,0,0
1,584397,0,2021.3.14 0:00,3487,0,0,587884,0,0
2,587884,0,2021.3.15 0:00,1074,0,0,588958,0,0
3,590228,0,2021.3.16 0:00,11922,0,0,602150,0,0
4,603451,0,2021.3.17 0:00,18283,0,0,621734,0,0
5,622598,0,2021.3.18 0:00,18733,0,0,641331,0,0
6,641974,0,2021.3.19 0:00,17501,0,0,659475,0,0
7,660294,0,2021.3.20 0:00,15132,0,0,675426,0,0
8,675648,0,2021.3.21 0:00,939,313,0,676587,313,0
9,676606,313,2021.3.22 0:00,1,280,0,676607,593,0
10,677856,593,2021.3.23 0:00,2704,290,0,680560,883,0
11,683461,883,2021.3.24 0:00,20151,615,0,703612,1498,0
12,704902,1498,2021.3.25 0:00,28222,1193,0,733124,2691,0
13,734985,2691,2021.3.26 0:00,32466,1142,0,767451,3833,0
14,769429,3833,2021.3.27 0:00,22845,1399,0,792274,5232,0
15,792802,5232,2021.3.28 0:00,1056,0,0,793858,5232,0
16,793955,5232,2021.3.29 0:00,11,0,0,793966,5232,0
17,795910,5232,2021.3.30 0:00,26538,919,0,822448,6151,0
18,823795,6151,2021.3.31 0:00,28407,2034,0,852202,8185,0
19,853930,8187,2021.4.1 0:00,22643,4786,0,876573,12973,0
20,877944,12974,2021.4.2 0:00,36125,6881,0,914069,19855,0
21,915498,20203,2021.4.3 0:00,38058,6177,0,953556,26380,0
22,953854,26761,2021.4.4 0:00,8229,537,0,962083,27298,0
23,962101,27298,2021.4.5 0:00,629,66,0,962730,27364,0
24,963900,27375,2021.4.6 0:00,35970,316,0,999870,27691,0
25,1.00E+06,27692,2021.4.7 0:00,37533,5722,0,1.04E+06,33414,0
26,1.04E+06,33416,2021.4.8 0:00,35860,9231,0,1.08E+06,42647,0
27,1.08E+06,42646,2021.4.9 0:00,36599,9490,0,1.11E+06,52136,0
28,1.11E+06,52144,2021.4.10 0:00,33404,7278,0,1.15E+06,59422,0
29,1.15E+06,59422,2021.4.11 0:00,8710,1088,0,1.16E+06,60510,0
30,1.16E+06,60511,2021.4.12 0:00,305,0,0,1.16E+06,60511,0
31,1.16E+06,60532,2021.4.13 0:00,37785,25,0,1.20E+06,60557,0
32,1.20E+06,60564,2021.4.14 0:00,43390,3,0,1.24E+06,60567,0
33,1.24E+06,60567,2021.4.15 0:00,45520,2,0,1.29E+06,60569,0
34,1.29E+06,60569,2021.4.16 0:00,92660,2,0,1.38E+06,60571,0
35,1.38E+06,60571,2021.4.17 0:00,102390,6,0,1.48E+06,60577,0
36,1.48E+06,60585,2021.4.18 0:00,29165,0,0,1.51E+06,60585,0
37,1.51E+06,60585,2021.4.19 0:00,4859,0,0,1.52E+06,60585,0
38,1.52E+06,60585,2021.4.20 0:00,121234,1,0,1.64E+06,60586,0
39,1.64E+06,60586,2021.4.21 0:00,130228,11,0,1.77E+06,60597,0
40,1.77E+06,60597,2021.4.22 0:00,131228,25,0,1.90E+06,60622,0
41,1.90E+06,60623,2021.4.23 0:00,130615,18528,0,2.04E+06,79151,0
42,2.04E+06,79154,2021.4.24 0:00,158581,19613,0,2.20E+06,98767,0
43,2.20E+06,98769,2021.4.25 0:00,64344,5769,0,2.26E+06,104538,0
44,2.26E+06,104538,2021.4.26 0:00,6140,367,0,2.27E+06,104905,0
45,2.27E+06,104905,2021.4.27 0:00,141937,21598,0,2.41E+06,126503,0
46,2.41E+06,126506,2021.4.28 0:00,175794,21776,0,2.59E+06,148282,0
47,2.59E+06,148286,2021.4.29 0:00,220729,20435,0,2.81E+06,168721,0
48,2.81E+06,168724,2021.4.30 0:00,241967,30010,0,3.06E+06,198734,0
49,3.07E+06,198744,2021.5.1 0:00,259018,29655,0,3.33E+06,228399,0
50,3.36E+06,228476,2021.5.2 0:00,39169,7712,0,3.40E+06,236188,0
51,3.40E+06,236188,2021.5.3 0:00,1561,301,0,3.40E+06,236489,0
52,3.40E+06,236494,2021.5.4 0:00,66920,30538,0,3.47E+06,267032,0
53,3.47E+06,267033,2021.5.5 0:00,62507,31159,0,3.53E+06,298192,0
